Why do Varroa mites prefer nurse bees?	The Varroa mite, Varroa destructor, is an acarine ecto-parasite on Apis mellifera. It is the worst pest of Apis mellifera, yet its reproductive biology on the host is not well understood. In particular, the significance of the phoretic stage, when mites feed on adult bees for a few days, is not clear. In addition, it is not clear whether the preference of mites for nurses observed in the laboratory also happens inside real colonies. We show that Varroa mites prefer nurses over both newly emerged bees and forgers in a colony setting. We then determined the mechanism behind this preference. We show that this preference maximizes Varroa fitness, although due to the fact that each mite must find a second host (a pupa) to reproduce, the fitness benefit to the mites is not immediate but delayed. Our results suggest that the Varroa mite is a highly adapted parasite for honey bees.		human, human experiment, nurse, parasite, Varroa	2016-06-15
Survey and risk assessment of apis mellifera (Hymenoptera: Apidae) exposure to neonicotinoid pesticides in Urban, Rural, and agricultural settings	A comparative assessment of apiaries in urban, rural, and agricultural areas was undertaken in 2013 and 2014 to examine potential honey bee colony exposure to neonicotinoid insecticides from pollen foraging. Apiaries ranged in size from one to hundreds of honey bee colonies, and included those operated by commercial, sideline (semicommercial), and hobbyist beekeepers. Residues in and on wax and beebread (stored pollen in the hive) were evaluated for the nitro-substituted neonicotinoid insecticides imidacloprid and its olefin metabolite and the active ingredients clothianidin, thiamethoxam, and dinotefuran. Beebread and comb wax collected from hives in agricultural landscapes were more likely to have detectable residues of thiamethoxam and clothianidin than that collected from hives in rural or urban areas (∼50% of samples vs. <10%). The maximum neonicotinoid residue detected in either wax or beebread was 3.9 ppb imidacloprid. A probabilistic risk assessment was conducted on the residues recovered from beebread in apiaries located in commercial, urban, and rural landscapes. The calculated risk quotient based on a dietary no observable adverse effect concentration (NOAEC) suggested low potential for negative effects on bee behavior or colony health. © The Authors 2016. Published by Oxford University Press on behalf of Entomological Society of America.		anabasine, insecticide, animal, apiculture, bee, city, environmental exposure, risk assessment, Washington, Anabasine, Animals, Beekeeping, Bees, Cities, Environmental Exposure, Insecticides, Risk Assessment, Washington	2016-04-01
Starvation stress during larval development facilitates an adaptive response in adult worker honey bees (Apis mellifera L.)	Most organisms are constantly faced with environmental changes and stressors. In diverse organisms, there is an anticipatory mechanism during development that can program adult phenotypes. The adult phenotype would be adapted to the predicted environment that occurred during organism maturation. However, whether this anticipatory mechanism is present in eusocial species is questionable because eusocial organisms are largely shielded from exogenous conditions by their stable nest environment. In this study, we tested whether food deprivation during development of the honey bee (Apis mellifera), a eusocial insect model, can shift adult phenotypes to better cope with nutritional stress. After subjecting fifth instar worker larvae to short-term starvation, we measured nutrition-related morphology, starvation resistance, physiology, endocrinology and behavior in the adults. We found that the larval starvation caused adult honey bees to become more resilient toward starvation. Moreover, the adult bees were characterized by reduced ovary size, elevated glycogen stores and juvenile hormone (JH) titers, and decreased sugar sensitivity. These changes, in general, can help adult insects survive and reproduce in food-poor environments. Overall, we found for the first time support for an anticipatory mechanism in a eusocial species, the honey bee. Our results suggest that this mechanism may play a role in honey bee queen-worker differentiation and worker division of labor, both of which are related to the responses to nutritional stress. © 2016. Published by The Company of Biologists Ltd.			2016-04-01
Do managed bees drive parasite spread and emergence in wild bees?	Bees have been managed and utilised for honey production for centuries and, more recently, pollination services. Since the mid 20th Century, the use and production of managed bees has intensified with hundreds of thousands of hives being moved across countries and around the globe on an annual basis. However, the introduction of unnaturally high densities of bees to areas could have adverse effects. Importation and deployment of managed honey bee and bumblebees may be responsible for parasite introductions or a change in the dynamics of native parasites that ultimately increases disease prevalence in wild bees. Here we review the domestication and deployment of managed bees and explain the evidence for the role of managed bees in causing adverse effects on the health of wild bees. Correlations with the use of managed bees and decreases in wild bee health from territories across the globe are discussed along with suggestions to mitigate further health reductions in wild bees. © 2015 The Authors.			2016-04-01
Ecology of Varroa destructor, the Major Ectoparasite of the Western Honey Bee, Apis mellifera	Varroa destructor is the most important ectoparasite of Apis mellifera. This review addresses the interactions between the varroa mite, its environment, and the honey bee host, mediated by an impressive number of cues and signals, including semiochemicals regulating crucial steps of the mite's life cycle. Although mechanical stimuli, temperature, and humidity play an important role, chemical communication is the most important channel. Kairomones are used at all stages of the mite's life cycle, and the exploitation of bees' brood pheromones is particularly significant given these compounds function as primer and releaser signals that regulate the social organization of the honey bee colony. V. destructor is a major problem for apiculture, and the search for novel control methods is an essential task for researchers. A detailed study of the ecological interactions of V. destructor is a prerequisite for creating strategies to sustainably manage the parasite. © Copyright 2016 by Annual Reviews. All rights reserved.		pheromone, animal, apiculture, association, bee, host parasite interaction, metabolism, parasitology, physiology, Varroidae, Animals, Beekeeping, Bees, Cues, Host-Parasite Interactions, Pheromones, Varroidae	2016-03-11
Effects of Nosema apis, N. ceranae, and coinfections on honey bee (Apis mellifera) learning and memory	Western honey bees (Apis mellifera) face an increasing number of challenges that in recent years have led to significant economic effects on apiculture, with attendant consequences for agriculture. Nosemosis is a fungal infection of honey bees caused by either Nosema apis or N. ceranae. The putative greater virulence of N. ceranae has spurred interest in understanding how it differs from N. apis. Little is known of effects of N. apis or N. ceranae on honey bee learning and memory. Following a Pavlovian model that relies on the proboscis extension reflex, we compared acquisition learning and long-term memory recall of uninfected (control) honey bees versus those inoculated with N. apis, N. ceranae, or both. We also tested whether spore intensity was associated with variation in learning and memory. Neither learning nor memory differed among treatments. There was no evidence of a relationship between spore intensity and learning, and only limited evidence of a negative effect on memory; this occurred only in the co-inoculation treatment. Our results suggest that if Nosema spp. are contributing to unusually high colony losses in recent years, the mechanism by which they may affect honey bees is probably not related to effects on learning or memory, at least as assessed by the proboscis extension reflex.		animal, bee, long term memory, microbiology, microsporidiosis, mixed infection, Nosema, pathogenicity, pathophysiology, physiology, reflex, Animals, Bees, Coinfection, Memory, Long-Term, Microsporidiosis, Nosema, Reflex	2016-03-10
Rapid determination of residues of pesticides in honey by µGC-ECD and GC-MS/MS: Method validation and estimation of measurement uncertainty according to document No. SANCO/12571/2013	A simple and straightforward method for simultaneous determination of residues of 13 pesticides in honey samples (acrinathrin, bifenthrin, bromopropylate, cyhalothrin-lambda, cypermethrin, chlorfenvinphos, chlorpyrifos, coumaphos, deltamethrin, fluvalinate-tau, malathion, permethrin and tetradifon) from different pesticide classes has been developed and validated. The analytical method provides dissolution of honey in water and an extraction of pesticide residues by n-Hexane followed by clean-up on a Florisil SPE column. The extract was evaporated and taken up by a solution of an injection internal standard (I-IS), ethion, and finally analyzed by capillary gas chromatography with electron capture detection (GC-µECD). Identification for qualitative purpose was conducted by gas chromatography with triple quadrupole mass spectrometer (GC-MS/MS). A matrix-matched calibration curve was performed for quantitative purposes by plotting the area ratio (analyte/I-IS) against concentration using a GC-µECD instrument. According to document No. SANCO/12571/2013, the method was validated by testing the following parameters: linearity, matrix effect, specificity, precision, trueness (bias) and measurement uncertainty. The analytical process was validated analyzing blank honey samples spiked at levels equal to and greater than 0.010 mg/kg (limit of quantification). All parameters were satisfactorily compared with the values established by document No. SANCO/12571/2013. The analytical performance was verified by participating in eight multi-residue proficiency tests organized by BIPEA, obtaining satisfactory z-scores in all 70 determinations. Measurement uncertainty was estimated according to the top-down approaches described in Appendix C of the SANCO document using the within-laboratory reproducibility relative standard deviation combined with laboratory bias using the proficiency test data. © 2016 Taylor & Francis Group, LLC.		Chromatography, Food products, Gas chromatography, Hexane, Pesticides, honey, Pesticide residue, SANCO 12571/2013, Top down approaches, Uncertainty estimation, Uncertainty analysis, estimation method, gas chromatography, honey, mass spectrometry, pesticide residue, top-down approach, uncertainty analysis, hexane, n-hexane, pesticide, pesticide residue, analysis, calibration, chemistry, European Union, food analysis, food contamination, honey, limit of detection, mass fragmentography, procedures, standards, statistics and numerical data, tandem mass spectrometry, uncertainty, validation study, Calibration, European Union, Food Analysis, Food Contamination, Gas Chromatography-Mass Spectrometry, Hexanes, Honey, Limit of Detection, Pesticide Residues, Pesticides, Tandem Mass Spectrometry, Uncertainty	2016-03-03
Linking measures of colony and individual honey bee health to survival among apiaries exposed to varying agricultural land use	We previously characterized and quantified the influence of land use on survival and productivity of colonies positioned in six apiaries and found that colonies in apiaries surrounded by more land in uncultivated forage experienced greater annual survival, and generally more honey production. Here, detailed metrics of honey bee health were assessed over three years in colonies positioned in the same six apiaries. The colonies were located in North Dakota during the summer months and were transported to California for almond pollination every winter. Our aim was to identify relationships among measures of colony and individual bee health that impacted and predicted overwintering survival of colonies. We tested the hypothesis that colonies in apiaries surrounded by more favorable land use conditions would experience improved health. We modeled colony and individual bee health indices at a critical time point (autumn, prior to overwintering) and related them to eventual spring survival for California almond pollination. Colony measures that predicted overwintering apiary survival included the amount of pollen collected, brood production, and Varroa destructor mite levels. At the individual bee level, expression of vitellogenin, defensin1, and lysozyme2 were important markers of overwinter survival. This study is a novel first step toward identifying pertinent physiological responses in honey bees that result from their positioning near varying landscape features in intensive agricultural environments.		agricultural land, apiary, Article, defensin1 gene, environmental exposure, gene, gene expression, health status, honeybee, lysozyme2 gene, nonhuman, organism colony, overwintering, pollen, species habitat, survival, Varroa destructor, vitellogenin gene, animal, animal husbandry, bee, biological model, North Dakota, physiology, season, Animal Husbandry, Animals, Bees, Models, Biological, North Dakota, Seasons	2016-03-01
The neonicotinoids thiacloprid, imidacloprid, and clothianidin affect the immunocompetence of honey bees (Apis mellifera L.)	A strong immune defense is vital for honey bee health and colony survival. This defense can be weakened by environmental factors that may render honey bees more vulnerable to parasites and pathogens. Honey bees are frequently exposed to neonicotinoid pesticides, which are being discussed as one of the stress factors that may lead to colony failure. We investigated the sublethal effects of the neonicotinoids thiacloprid, imidacloprid, and clothianidin on individual immunity, by studying three major aspects of immunocompetence in worker bees: total hemocyte number, encapsulation response, and antimicrobial activity of the hemolymph. In laboratory experiments, we found a strong impact of all three neonicotinoids. Thiacloprid (24 h oral exposure, 200 μg/l or 2000. μg/l) and imidacloprid (1 μg/l or 10 μg/l) reduced hemocyte density, encapsulation response, and antimicrobial activity even at field realistic concentrations. Clothianidin had an effect on these immune parameters only at higher than field realistic concentrations (50-200 μg/l). These results suggest that neonicotinoids affect the individual immunocompetence of honey bees, possibly leading to an impaired disease resistance capacity. © 2016 Elsevier Ltd.		antimicrobial activity, clothianidin, encapsulation, honeybee, imidacloprid, immune system, immunity, immunocompetence, sublethal effect, thiacloprid, Apis mellifera, Apoidea, ((E)-1-(2-chloro-1,3-thiazol-5-ylmethyl)-3-methyl-2-nitroguanidine), guanidine derivative, imidacloprid, imidazole derivative, nitro derivative, pyridine derivative, thiacloprid, thiazine derivative, thiazole derivative, animal, bee, blood cell, drug effects, hemolymph, immunocompetence, immunology, Animals, Bees, Guanidines, Hemocytes, Hemolymph, Imidazoles, Immunocompetence, Nitro Compounds, Pyridines, Thiazines, Thiazoles	2016-03-01
Divergent forms of endoplasmic reticulum stress trigger a robust unfolded protein response in honey bees	Honey bee colonies in the United States have suffered from an increased rate of die-off in recent years, stemming from a complex set of interacting stresses that remain poorly described. While we have some understanding of the physiological stress responses in the honey bee, our molecular understanding of honey bee cellular stress responses is incomplete. Thus, we sought to identify and began functional characterization of the components of the UPR in honey bees. The IRE1-dependent splicing of the mRNA for the transcription factor Xbp1, leading to translation of an isoform with more transactivation potential, represents the most conserved of the UPR pathways. Honey bees and other Apoidea possess unique features in the Xbp1 mRNA splice site, which we reasoned could have functional consequences for the IRE1 pathway. However, we find robust induction of target genes upon UPR stimulation. In addition, the IRE1 pathway activation, as assessed by splicing of Xbp1 mRNA upon UPR, is conserved. By providing foundational knowledge about the UPR in the honey bee and the relative sensitivity of this species to divergent stresses, this work stands to improve our understanding of the mechanistic underpinnings of honey bee health and disease. © 2015 Elsevier Ltd.		colony, honeybee, membrane, molecular analysis, physiological response, protein, RNA, United States, Apis mellifera, Apoidea, insect protein, RNA splice site, tunicamycin, animal, bee, endoplasmic reticulum stress, metabolism, oxidative stress, RNA splice site, unfolded protein response, Animals, Bees, Endoplasmic Reticulum Stress, Insect Proteins, Oxidative Stress, RNA Splice Sites, Tunicamycin, Unfolded Protein Response	2016-03-01
Per-visit pollinator performance and regional importance of wild Bombus and Andrena (Melandrena) compared to the managed honey bee in New York apple orchards	Declines in honey bee health and increasing demand for pollination services highlight a need to optimize crop pollination by wild bees. Apple is an economically important crop in eastern North America, requires insect pollination, and is visited by a diverse bee fauna, but a direct assessment of wild bee pollination in apple orchards is lacking. We combined measurements of two facets of pollination service, per-visit efficiency (fruit and seed set) and relative abundance, to estimate orchard-level, pollinator importance of mining bees (Andrena subgenus Melandrena), bumble bees (Bombus), and honey bees (Apis mellifera L.). Average pollinator importance provided a relative measure that allowed comparison of pollination service among the three focal bees across the study region. On average, a wild bee visit resulted in higher pollen transfer to stigmas, but had the same probability of setting fruit and seed as a honey bee visit. Regionally, pollinator importance of Melandrena and Bombus were 32 and 14 % that of honey bees, respectively. Because per-visit performances were similar, such disparities in importance were based largely on differences in relative abundance. Although the summed pollinator importance of Melandrena and Bombus was less than that of the honey bee, these, and other, wild pollinators have a role to play in filling future pollination gaps, and thus, warrant further study and conservation. © 2015, INRA, DIB and Springer-Verlag France.		fruit, honeybee, orchard, plant-pollinator interaction, pollen, pollination, pollinator, probability, reproductive success, New York [United States], United States, Apidae, Apis mellifera, Apoidea, Hexapoda, Malus x domestica, Melandrena	2016-03-01
Differential attractiveness of sunflower cultivars to the honeybee Apis mellifera L.	In France, sunflower honey production has decreased since the nineties and professional beekeepers report important honey yield variability between years and locations. Consequently, melliferous potential of current sunflower cultivars is questioned as it is not part of traits held in breeding programs. To investigate this question, a 3-years study was conducted on two sites and attractiveness for honeybees of 13 current sunflower cultivars was assessed under natural conditions. The number of honeybee visits per plant was recorded daily during blooming period on cultivars randomly distributed on experimental plots. Sunflower genetic was a major factor influencing honeybee attendance on plots and discrepancy between most and least visited cultivars reached a factor of 3. Cultivars relative attractiveness was consistent between years and sites. Potential link between sunflower attractiveness for honeybees and its melliferous characteristics is discussed. If confirmed, farmers' choice concerning cultivars at a territory scale could contribute to enhance nectar resource for pollinators and to increase viability of apicultural activity. © 2016 N. Cerrutti and C. Pontet, published by EDP Sciences.			2016-03-01
Screening of environmental contaminants in honey bee wax comb using gas chromatography–high-resolution time-of-flight mass spectrometry	This study reports an analytical approach intended to be used for investigation of non-targeted environmental contaminants and to characterize the organic pollution pattern of bee wax comb samples. The method comprises a generic extraction followed by detection with gas chromatography coupled to high-resolution time-of-flight mass spectrometry (GC–TOF-MS), operated in electron impact ionization (EI) mode. The screening approach for the investigation of non-targeted contaminants consisted of initial peak detection by deconvolution and matching the first-stage mass spectra EI-MS(1) with a nominal mass spectral library. To gain further confidence in the structural characterization of the contaminants under investigation, the molecular formula of representative ions (molecular ion when present in the EI spectrum) and, for at least other two fragment ions, was provided for those with an accurate mass scoring (mass error < 5 ppm). This methodology was applied for screening environmental contaminants in 50 samples of bee wax comb. This approach has allowed the tentative identification of some GC-amenable contaminants belonging to different chemical groups, among them, phthalates and polycyclic aromatic hydrocarbons (PAHs), along with residues of veterinary treatments used in apiculture. © 2015, Springer-Verlag Berlin Heidelberg.		apiculture, bee, deconvolution, environmental assessment, extraction method, gas chromatography, mass spectrometry, methodology, organic pollutant, PAH, phthalate, wax, Apis mellifera, Apoidea, polycyclic aromatic hydrocarbon, analysis, animal, bee, honey, mass fragmentography, pollution, procedures, Animals, Bees, Environmental Pollution, Gas Chromatography-Mass Spectrometry, Honey, Polycyclic Aromatic Hydrocarbons	2016-03-01
Pathogen prevalence and abundance in honey bee colonies involved in almond pollination	Honey bees are important pollinators of agricultural crops. Since 2006, US beekeepers have experienced high annual honey bee colony losses, which may be attributed to multiple abiotic and biotic factors, including pathogens. However, the relative importance of these factors has not been fully elucidated. To identify the most prevalent pathogens and investigate the relationship between colony strength and health, we assessed pathogen occurrence, prevalence, and abundance in Western US honey bee colonies involved in almond pollination. The most prevalent pathogens were Black queen cell virus (BQCV), Lake Sinai virus 2 (LSV2), Sacbrood virus (SBV), Nosema ceranae, and trypanosomatids. Our results indicated that pathogen prevalence and abundance were associated with both sampling date and beekeeping operation, that prevalence was highest in honey bee samples obtained immediately after almond pollination, and that weak colonies had a greater mean pathogen prevalence than strong colonies. © 2015, INRA, DIB and Springer-Verlag France.		abundance, apiculture, colonial organism, colonization, deciduous tree, disease prevalence, honeybee, host-pathogen interaction, nut, parasite prevalence, pest damage, pollination, viral disease, United States, Apis mellifera, Black queen cell virus, Nosema ceranae, Prunus dulcis, Sacbrood virus, Trypanosomatidae	2016-03-01
A fluorescent method for visualization of Nosema infection in whole-mount honey bee tissues	Honey bees are critical pollinators in both agricultural and ecological settings. The Nosema species, ceranae and apis, are microsporidian parasites that are pathogenic to honey bees. While current methods for detecting Nosema infection have key merits, additional techniques with novel properties for studying the cell biology of Nosema infection are highly desirable. We demonstrate that whole-mount staining of honey bee midgut tissue with chitin-binding agent Fluorescent Brightener 28 and DNA dye Propidium Iodide allows for observation of Nosema infection in structurally intact tissue, providing a new tool for increasing our understanding of Nosema infection at the cellular and tissue level. © 2016 Elsevier Inc.		benzenesulfonic acid derivative, C.I. Fluorescent Brightening Agent 28, chitin, coloring agent, fluorescent dye, propidium iodide, animal, bee, confocal microscopy, fungus spore, isolation and purification, microbiology, Nosema, Animals, Bees, Benzenesulfonates, Chitin, Coloring Agents, Fluorescent Dyes, Microscopy, Confocal, Nosema, Propidium, Spores, Fungal	2016-03-01
Improvement of bait sprays for the control of Bactrocera oleae (Diptera: Tephritidae)	The control of the olive fruit fly Bactrocera oleae (Gmelin) is based on insecticides that are usually applied as bait sprays. Large-scale field experiments were conducted in the Kolymvari region of Crete (Greece) to evaluate the efficacy of several bait spray solutions against the fly that were applied at the recommended spraying volume per hectare (or 300 ml per treated tree), compared applications at volumes reduced by two and three fold (150 and 100 ml, respectively). The trophical attractant (hydrolysed protein at 75% w/w) that was used was mixed with alpha-cypermethrin, thiacloprid, thiacloprid + deltamethrin or dimethoate, and these formulations were tested during three successive summers (2012-2014) according to European Plant Protection Organisation (EPPO) standards. The products were alternated with one another over time in the experimental plots. The results indicated that all of the bait spraying solutions of the tested products were effective against B. oleae at all of the doses tested and resulted in significantly lower olive fly populations compared with the standard recommended dose, which was indicated by the fly catches in the nets of McPhail traps within the experimental plots. The percentages of live infestations of B. oleae were very low (<2%, except in 2013 due to a very low olive fruit yield), as was the number of applications each year, which was 6-7 and did not differ among treatments. The benefits of this concept in the management of the pest and potential future improvements of the method are discussed. © 2015 Elsevier Ltd.		bait, crop pest, fly, insecticide, pesticide application, Aegean Islands, Crete [Greece], Greece, Bactrocera oleae, Diptera, Tephritidae	2016-03-01
The fungicide Pristine® inhibits mitochondrial function in vitro but not flight metabolic rates in honey bees	Honey bees and other pollinators are exposed to fungicides that act by inhibiting fungal mitochondria. Here we test whether a common fungicide (Pristine®) inhibits the function of mitochondria of honeybees, and whether consumption of ecologically-realistic concentrations can cause negative effects on the mitochondria of flight muscles, or the capability for flight, as judged by CO2 emission rates and thorax temperatures during flight. Direct exposure of mitochondria to Pristine® levels above 5ppm strongly inhibited mitochondrial oxidation rates in vitro. However, bees that consumed pollen containing Pristine® at ecologically-realistic concentrations (≈1ppm) had normal flight CO2 emission rates and thorax temperatures. Mitochondria isolated from the flight muscles of the Pristine®-consuming bees had higher state 3 oxygen consumption rates than control bees, suggesting that possibly Pristine®-consumption caused compensatory changes in mitochondria. It is likely that the lack of a strong functional effect of Pristine®-consumption on flight performance and the in vitro function of flight muscle mitochondria results from maintenance of Pristine® levels in the flight muscles at much lower levels than occur in the food, probably due to metabolism and detoxification. As Pristine® has been shown to negatively affect feeding rates and protein digestion of honey bees, it is plausible that Pristine® consumption negatively affects gut wall function (where mitochondria may be exposed to higher concentrations of Pristine®). © 2015 Elsevier Ltd.		concentration (composition), experimental study, flight behavior, fungicide, honeybee, mitochondrion, oxidation, physiological response, Apis mellifera, Apoidea, biphenyl derivative, carbamic acid derivative, nicotinamide, Pristine (fungicide), pyrazole derivative, age, analogs and derivatives, animal, bee, body temperature, cell respiration, drug effects, female, flying, mitochondrion, Age Factors, Animals, Bees, Biphenyl Compounds, Body Temperature, Carbamates, Cell Respiration, Female, Flight, Animal, Mitochondria, Niacinamide, Pyrazoles	2016-03-01
Honey bee colonies provided with natural forage have lower pathogen loads and higher overwinter survival than those fed protein supplements	Malnutrition is a major cause of colony losses. In managed hives, bees are fed protein supplements (PS) during pollen shortages. If bees were provided with natural forage instead of PS, would they have lower pathogen levels and higher queen and colony survival? We addressed this question by either providing colonies with forage (Brassica rapa—rapini) or feeding them PS from November to February. Soluble protein concentrations in the PS were lower than the rapini pollen as were levels of most amino acids. Nurse bees digested less of the protein in PS than the pollen. Hemolymph protein titers in nurse bees and colony growth did not differ between those fed PS or foraging on rapini. However, colonies fed PS had higher levels of black queen cell virus and Nosema and greater queen losses, indicating that natural forage might improve overwintering survival. © 2015, The Author(s).		amino acid, apiculture, digestion, food supplementation, forage, honeybee, leafy vegetable, malnutrition, overwintering, pathogen, pollen, protein, survival, Apis mellifera, Apoidea, Black queen cell virus, Brassica, Nosema	2016-03-01
Effects of pesticide treatments on nutrient levels in worker honey bees (Apis mellifera)	Honey bee colony loss continues to be an issue and no factor has been singled out as to the cause. In this study, we sought to determine whether two beekeeper-applied pesticide products, tau-fluvalinate and Fumagilin-B®, and one agrochemical, chlorothalonil, impact the nutrient levels in honey bee workers in a natural colony environment. Treatments were performed in-hive and at three different periods (fall, spring, and summer) over the course of one year. Bees were sampled both at pre-treatment and two and four weeks post-treatment, weighed, and their protein and carbohydrate levels were determined using BCA and anthrone based biochemical assays, respectively. We report that, based on the pesticide concentrations tested, no significant negative impact of the pesticide products was observed on wet weight, protein levels, or carbohydrate levels of bees from treated colonies compared with bees from untreated control colonies. © 2016 by the authors; licensee MDPI, Basel, Switzerland.			2016-03-01
Widespread contamination of wildflower and bee-collected pollen with complex mixtures of neonicotinoids and fungicides commonly applied to crops	There is considerable and ongoing debate as to the harm inflicted on bees by exposure to agricultural pesticides. In part, the lack of consensus reflects a shortage of information on field-realistic levels of exposure. Here, we quantify concentrations of neonicotinoid insecticides and fungicides in the pollen of oilseed rape, and in pollen of wildflowers growing near arable fields. We then compare this to concentrations of these pesticides found in pollen collected by honey bees and in pollen and adult bees sampled from bumble bee colonies placed on arable farms. We also compared this with levels found in bumble bee colonies placed in urban areas. Pollen of oilseed rape was heavily contaminated with a broad range of pesticides, as was the pollen of wildflowers growing nearby. Consequently, pollen collected by both bee species also contained a wide range of pesticides, notably including the fungicides carbendazim, boscalid, flusilazole, metconazole, tebuconazole and trifloxystrobin and the neonicotinoids thiamethoxam, thiacloprid and imidacloprid. In bumble bees, the fungicides carbendazim, boscalid, tebuconazole, flusilazole and metconazole were present at concentrations up to 73. nanogram/gram (ng/g). It is notable that pollen collected by bumble bees in rural areas contained high levels of the neonicotinoids thiamethoxam (mean 18. ng/g) and thiacloprid (mean 2.9. ng/g), along with a range of fungicides, some of which are known to act synergistically with neonicotinoids. Pesticide exposure of bumble bee colonies in urban areas was much lower than in rural areas. Understanding the effects of simultaneous exposure of bees to complex mixtures of pesticides remains a major challenge. © 2015 Elsevier Ltd.		Agriculture, Food products, Insecticides, Mixtures, Oilseeds, Pesticides, Rural areas, Agricultural pesticides, Bumble bee, Honey bee, Neonicotinoid insecticides, Neonicotinoids, Pesticide exposure, Pollen, Trifloxystrobin, Fungicides, boscalid, carbendazim, flusilazole, fungicide, imidacloprid, metconazole, neonicotinoid, tebuconazole, thiacloprid, thiamethoxam, trifloxystrobin, unclassified drug, fungicide, insecticide, arable land, bee, flower, fungicide, neonicotinoid pesticide, nontarget organism, pollen, urban area, adult, arable land, Article, bumblebee, flower, honeybee, nonhuman, pollen, priority journal, rapeseed, rural area, United Kingdom, urban area, wild plant, winter wheat, angiosperm, animal, bee, chemistry, England, environmental monitoring, pollen, Apis mellifera, Apoidea, Bombus (genus), Brassica napus, Angiosperms, Animals, Bees, Brassica napus, England, Environmental Monitoring, Fungicides, Industrial, Insecticides, Pollen	2016-03-01
Plasticity in the gut microbial community and uptake of Enterobacteriaceae (Gammaproteobacteria) in Bombus terrestris bumblebees’ nests when reared indoors and moved to an outdoor environment	Bombus nests consisting of one queen, brood, and worker adults, are produced indoors for biological pollination in agriculture. In this study, we investigated the gut microbial community in workers of Bombus terrestris when the environment is stable (indoors) or variable (outdoors). When nests were reared indoors under standardized conditions, we identified a small gut microbial community consisting of Neisseriaceae, Orbaceae, Lactobacillaceae, and Bifidobacteriaceae, and the age of bumblebee nests and workers did not affect the alpha and beta diversity, confirming a stable microbiota. Secondly, when indoor-reared nests were moved to outdoors, we observed a major shift in the microbial community, especially in the newborn workers fully developed in the outdoor conditions, with a significant colonization of Enterobacteriaceae. Our new findings are discussed in relation to host-associated core and non-core bacteria in bumblebees including possible implications for host functioning. © 2015, INRA, DIB and Springer-Verlag France.		Bifidobacteriaceae, Bombus terrestris, Enterobacteriaceae, Gammaproteobacteria, Lactobacillaceae, Neisseriaceae	2016-03-01
Prochloraz and coumaphos induce different gene expression patterns in three developmental stages of the Carniolan honey bee (Apis mellifera carnica Pollmann)	The Carniolan honey bee, Apis mellifera carnica, is a Slovenian autochthonous subspecies of honey bee. In recent years, the country has recorded an annual loss of bee colonies throughmortality of up to 35%. One possible reason for such highmortality could be the exposure of honey bees to xenobiotic residues that have been found in honey bee and beehive products. Acaricides are applied by beekeepers to control varroosis, while the most abundant common agricultural chemicals found in honey bee and beehive products are fungicides, which may enter the system when applied to nearby flowering crops and fruit plants. Acaricides and fungicides are not intrinsically highly toxic to bees but their action in combination might lead to higher honey bee sensitivity or mortality. In the present studywe investigated the molecular immune response of honey beeworkers at different developmental stages (prepupa, white-eyed pupa, adult) exposed to the acaricide coumaphos and the fungicide prochloraz individually and in combination. Expression of 17 immune-related genes was examined by quantitative RT-PCR. In treated prepupae downregulation of most immune-related geneswas observed in all treatments, while in adults upregulation of most of the genes was recorded. Our study shows for the first time that negative impacts of prochloraz and a combination of coumaphos and prochloraz differ among the different developmental stages of honey bees. The main effect of the xenobiotic combination was found to be upregulation of the antimicrobial peptide genes abaecin and defensin-1 in adult honey bees. Changes in immune-related gene expression could result in depressed immunity of honey bees and their increased susceptibility to various pathogens. © 2015 Elsevier B.V.		coumafos, fungicide, imidazole derivative, prochloraz, animal, bee, drug effects, gene expression, growth, development and aging, Animals, Bees, Coumaphos, Fungicides, Industrial, Gene Expression, Imidazoles	2016-03-01
